aptSeq,name,sigungu,dong,identityQuality,coordQuality,eligibility,confidence_coverage,transport,living,education,complex,total_WA,total_WB,total_WC,total_WD
26110-840,"예그린",중구,부평동4가,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,67.2,,,,
26110-15,"흑교",중구,보수동2가,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,12.0,,,,
26110-4,"대동맨션",중구,동광동5가,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,16.0,,,,
26110-904,"미소지음주상복합",중구,보수동1가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,48.6,67.3,74.6,54.0,61.1,59.8,59.4,60.9
26110-65,"경우빌라",중구,대청동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,43.4,59.5,64.8,23.0,47.7,46.6,43.8,48.2
26110-40,"초원",중구,영주동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,54.6,52.9,66.0,12.0,46.4,45.8,41.6,47.5
26110-939,"선경에이스",중구,보수동3가,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,52.8,69.4,73.2,83.2,69.6,68.6,70.8,68.7
26110-901,"부평파크",중구,부평동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,73.3,74.0,67.9,49.8,66.3,66.5,64.1,67.0
26110-947,"목연정M팰리스",중구,부평동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,67.9,78.1,68.9,64.2,69.8,69.7,68.8,70.0
26110-893,"보수2차봄여름가을겨울",중구,보수동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,46.3,69.3,73.8,51.7,60.3,58.9,58.3,60.0
26110-48,"그린빌",중구,보수동1가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,43.6,55.9,76.8,38.2,53.6,51.9,50.8,53.6
26110-33,"동주파크",중구,영주동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,38.9,30.0,29.2,32.3,32.6,33.1,32.9,32.8
26110-888,"미소지움아파트",중구,영주동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,52.6,67.0,79.4,48.4,61.9,60.5,59.4,61.9
26110-51,"대근하버빌타운",중구,부평동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,63.0,72.0,61.5,42.0,59.6,59.7,57.1,60.3
26110-943,"보수에코팰리스",중구,보수동3가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,56.4,74.4,68.8,63.1,65.6,65.0,64.8,65.5
26110-781,"대암보수맨션",중구,보수동1가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,45.6,66.6,77.3,19.1,52.1,50.6,46.9,52.8
26110-942,"엘스퀘어",중구,중앙동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,60.2,58.2,38.8,57.2,53.6,54.7,54.5,53.9
26110-29,"신생",중구,신창동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,50.3,81.0,53.6,16.8,50.4,50.2,45.3,51.7
26110-843,"보수동한웅베어스",중구,보수동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,54.6,70.1,72.9,51.6,62.3,61.4,60.3,62.4
26110-905,"부평부백자연애",중구,부평동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,72.5,73.9,65.0,51.7,65.8,66.2,64.0,66.5
26110-837,"그린시티",중구,대청동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,55.2,70.5,83.6,49.1,64.6,63.2,61.8,64.7
26110-24,"부평",중구,부평동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,57.7,72.2,55.8,26.8,53.1,53.2,49.4,54.2
26170-41,"아름빌106동",동구,범일동,IDENTITY_HIGH,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,36.0,,,,
26110-945,"센텀엘카사",중구,보수동2가,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,85.6,,,,
26110-27,"향원부평타워",중구,부평동4가,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,47.8,,,,
26110-780,"동호이루마시티",중구,대청동4가,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,55.0,,,,
26110-49,"목연정빌라",중구,부평동4가,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,49.6,,,,
26110-23,"금성",중구,부평동2가,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,11.7,,,,
26110-770,"청운아파트1동",중구,영주동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,12.0,,,,
26110-28,"용두산맨션",중구,신창동1가,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,11.7,,,,
26110-25,"월드밸리",중구,부평동2가,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,38.8,,,,
26110-5,"동광",중구,동광동5가,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,10.9,,,,
26170-827,"범양레우스센트럴베이",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,85.0,66.1,42.4,84.3,69.4,71.6,72.5,69.7
26170-628,"두산위브범일뉴타운",동구,좌천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,69.3,55.2,45.4,62.4,58.1,59.3,59.3,58.4
26170-12,"한성아트빌",동구,초량동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,47.8,,,,
26170-809,"오션브릿지",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,61.6,54.6,74.2,79.9,67.6,67.0,69.1,66.8
26170-860,"두산위브더제니스하버시티",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,64.2,46.4,57.3,90.0,64.5,64.8,68.3,63.6
26170-675,"진흥마제스타워범일",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,78.1,70.4,26.3,69.3,61.0,63.6,63.1,61.7
26170-841,"부산항일동미라주더오션(1지구)",동구,좌천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,76.5,54.4,42.5,77.4,62.7,64.4,65.6,62.8
26170-825,"e편한세상부산항",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,65.4,62.6,65.4,82.7,69.0,69.0,70.9,68.5
26170-826,"협성휴포레부산진역오션뷰",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,86.9,65.4,47.7,80.8,70.2,72.2,72.6,70.6
26170-813,"좌천서린엘마르더뷰",동구,좌천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,35.4,33.7,51.7,69.2,47.5,46.7,50.1,46.3
26170-641,"두산위브포세이돈2",동구,범일동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,55.0,,,,
26110-30,"금호",중구,영주동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,42.5,47.6,40.1,38.8,42.3,42.4,41.7,42.4
26110-2,"부원",중구,대창동1가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,62.5,60.8,51.0,29.8,51.0,51.6,48.4,52.1
26170-10,"화신1",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,30.1,29.9,45.6,28.3,33.5,32.7,32.5,33.4
26170-38,"한성기린",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,72.9,73.3,49.9,57.9,63.5,64.6,63.1,64.2
26170-802,"센텀동원2차",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,83.6,68.9,35.0,55.3,60.7,63.2,61.1,61.9
26170-815,"지원더뷰오션1차",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,65.4,58.2,22.1,67.9,53.4,55.6,56.2,53.7
26170-807,"린다스마트포레",동구,좌천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,79.9,54.4,47.4,64.0,61.5,63.1,62.8,62.0
26170-781,"오름CASTLE",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,69.9,67.6,57.7,54.2,62.4,63.0,61.5,62.9
26170-3,"동일파크",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,46.5,34.5,55.2,24.9,40.3,39.9,38.3,40.7
26170-834,"초량베스티움센트럴베이",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,51.8,58.3,77.9,79.0,66.8,65.5,67.9,65.8
26170-53,"배룡그린빌라",동구,초량동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,46.0,,,,
26170-26,"아르미나아파트",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,42.7,30.5,81.1,49.9,51.1,49.1,50.5,50.3
26170-31,"동원드림타운",동구,좌천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,61.4,63.7,51.4,57.0,58.4,58.9,58.3,58.6
26170-625,"청명골드타워",동구,초량동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,55.0,,,,
26170-42,"아름빌107동",동구,범일동,IDENTITY_HIGH,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,36.4,,,,
26170-8,"초량마마맨션",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,47.3,55.9,68.7,28.6,50.1,49.1,46.7,50.6
26170-21,"덕림아파트",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,47.6,35.9,79.8,27.2,47.6,46.0,44.5,47.8
26170-24,"수성아파트(440-0)",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,40.3,31.9,74.3,20.5,41.8,40.1,38.5,41.9
26170-789,"범일역이즈팰리스",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,69.8,77.8,30.2,57.8,58.9,60.9,59.3,59.7
26170-54,"썬플라워빌",동구,초량동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,49.6,,,,
26170-618,"좌천시민(741-1)",동구,좌천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,49.9,44.7,57.0,30.8,45.6,45.2,43.6,46.0
26170-7,"전원파크맨션아파트",동구,초량동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,19.2,,,,
26170-77,"좌천시민(737-1)",동구,좌천동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,54.1,49.5,63.1,8.0,43.7,43.2,38.9,44.9
26170-85,"아름빌102동",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,52.8,42.2,61.0,36.3,48.1,47.7,46.5,48.4
26170-9,"초원",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,72.3,66.5,53.3,26.3,54.6,55.6,51.3,56.1
26170-793,"베스안하우스2차",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,55.1,65.5,51.4,56.6,57.1,57.3,57.0,57.2
26170-801,"오션스타",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,59.9,67.9,69.4,53.4,62.7,62.2,61.2,62.9
26170-864,"북항에코하임센트럴뷰",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,64.0,65.1,60.2,70.2,64.9,65.1,65.6,64.7
26170-805,"금초파크",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,56.6,55.7,43.4,52.8,52.1,52.8,52.4,52.3
26170-824,"지원더뷰오션2차",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,58.9,59.4,22.2,72.7,53.3,55.1,56.5,53.3
26170-62,"영림",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,48.7,49.1,59.8,24.2,45.5,44.9,42.4,46.1
26170-629,"예그린",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,55.8,67.1,72.6,45.2,60.2,59.3,57.7,60.4
26170-731,"봄여름가을겨울",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,71.4,75.2,38.2,54.0,59.7,61.4,59.4,60.6
26170-46,"한사랑빌라트",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,55.5,65.1,71.8,36.4,57.2,56.4,54.0,57.7
26170-780,"남평N-CITY",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,53.8,54.6,23.1,55.1,46.7,48.2,48.3,46.9
26170-799,"장원하이드파크",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,62.9,60.9,22.6,54.8,50.3,52.3,51.6,50.9
26170-33,"제일",동구,좌천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,53.6,65.5,57.7,16.2,48.2,48.0,43.7,49.4
26170-822,"대영아르피나",동구,초량동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,83.2,,,,
26170-29,"협성파크",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,42.5,32.1,41.3,33.8,37.4,37.5,37.2,37.6
26170-69,"대근아트빌라(355-1)",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,56.9,65.5,36.9,37.2,49.1,50.1,47.7,50.0
26170-769,"베스안하우스",동구,수정동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,82.4,67.5,58.9,50.5,64.8,66.0,63.6,65.9
26170-836,"부산역삼정그린코아더시티",동구,초량동,IDENTITY_LOW,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,88.0,,,,
26170-67,"배룡비치텔",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,58.5,65.5,71.2,41.5,59.2,58.5,56.5,59.6
26170-28,"청광",동구,수정동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,35.2,,,,
26170-577,"노블시티",동구,좌천동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,53.2,,,,
26170-88,"수정동하이츠빌리지",동구,수정동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,51.4,,,,
26170-837,"범일역삼정그린코아더시티",동구,범일동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,88.0,,,,
26170-674,"금광팰리스",동구,초량동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,63.0,,,,
26170-6,"신우",동구,초량동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,12.0,,,,
26170-741,"퍼스트빌",동구,범일동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,71.6,,,,
26170-83,"성지하나로",동구,범일동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,49.6,,,,
26170-60,"체어빌골드",동구,초량동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,49.6,,,,
26170-72,"양지빌라",동구,수정동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,49.6,,,,
26170-43,"KCB센트리움",동구,초량동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,49.6,,,,
26170-36,"삼익",동구,범일동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,13.6,,,,
26170-17,"늘푸른포스트빌",동구,초량동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,47.8,,,,
26170-55,"썬리치",동구,초량동,IDENTITY_UNRESOLVED,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,51.4,,,,
26200-768,"영도센트럴에일린의뜰",영도구,봉래동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,23.4,52.8,66.2,86.1,57.1,55.0,59.8,55.1
26200-597,"한일유앤아이",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,0.75,,29.9,74.8,55.1,53.3,51.7,53.6,52.6
26200-41,"미주비치",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,29.2,32.7,73.6,54.5,47.5,45.3,47.7,46.4
26170-633,"수정(1186-1)",동구,수정동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,42.5,33.4,70.3,8.0,38.5,37.2,34.2,39.2
26170-58,"하이츠빌리지-1",동구,초량동,IDENTITY_LOW,COORD_HIGH,SCORE_AVAILABLE,1.00,54.1,61.0,51.1,46.0,53.0,53.2,52.0,53.4
26170-631,"수정(1181-4)",동구,수정동,IDENTITY_UNRESOLVED,COORD_HIGH,SCORE_AVAILABLE,1.00,45.3,40.4,66.9,8.0,40.1,39.0,35.6,41.0
26170-16,"유승아트(110-41)",동구,초량동,IDENTITY_UNRESOLVED,COORD_HIGH,SCORE_AVAILABLE,1.00,64.9,65.6,56.4,47.8,58.7,59.1,57.3,59.3
26170-630,"수정(1173-3)",동구,수정동,IDENTITY_UNRESOLVED,COORD_HIGH,SCORE_AVAILABLE,1.00,49.1,52.7,57.8,8.0,41.9,41.5,37.2,43.1
26170-52,"대근아트빌라(106-11)",동구,초량동,IDENTITY_UNRESOLVED,COORD_HIGH,SCORE_AVAILABLE,1.00,73.3,65.5,50.0,49.6,59.6,60.8,58.8,60.5
26170-857,"범일퀸즈W에디션",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,68.2,65.0,63.6,64.3,65.3,65.5,65.3,65.4
26170-710,"한울시너스",동구,초량동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,74.3,68.9,74.1,52.5,67.5,67.5,65.6,68.1
26200-96,"진명드림빌",영도구,남항동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,27.4,52.2,70.1,37.2,46.7,44.6,44.3,46.3
26170-752,"센텀타워",동구,좌천동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,83.6,54.2,60.3,50.1,62.1,63.2,61.3,63.0
26170-808,"범일동서면영동리원",동구,범일동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,59.2,50.6,52.1,61.3,55.8,56.1,56.8,55.7
26200-772,"부산오션시티푸르지오",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,11.0,19.3,38.3,86.6,38.8,37.4,44.6,36.4
26200-16,"반도보라",영도구,영선동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,22.2,32.4,61.1,64.0,44.9,43.0,46.6,43.4
26200-49,"한라비치",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,24.8,26.2,73.9,49.2,43.5,41.1,43.4,42.3
26200-601,"신영도롯데낙천대",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,27.6,27.4,54.7,62.6,43.1,41.7,45.2,41.8
26200-126,"원우엔리치빌",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.2,20.6,50.1,62.5,39.8,38.7,42.6,38.5
26200-1220,"오션라이프에일린의뜰1단지",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,27.2,45.6,58.9,83.7,53.8,52.3,57.0,52.0
26200-53,"경전",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,24.1,41.7,62.9,45.0,43.4,41.5,42.7,42.6
26200-1221,"오션라이프에일린의뜰2단지",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,27.0,47.3,43.1,81.5,49.7,48.9,53.3,48.1
26200-54,"국제마마뉴비치타운",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,23.4,45.5,75.9,55.7,50.1,47.5,49.6,48.8
26200-47,"청운",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.6,22.2,51.5,25.4,31.4,30.2,30.3,31.2
26200-17,"영도대원",영도구,영선동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,0.75,,30.6,79.6,44.8,51.7,49.7,50.3,51.3
26200-80,"함지그린",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,24.6,7.6,70.7,59.6,40.6,38.3,42.7,39.0
26200-622,"영도신도브래뉴",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,24.0,26.1,76.8,67.9,48.7,46.0,50.3,46.9
26200-76,"조양비취맨션",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,25.0,44.6,57.5,48.7,43.9,42.3,43.7,43.1
26200-57,"동산파크타운",영도구,동삼동,IDENTITY_HIGH,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,28.6,,,,
26200-8,"남항화랑맨션",영도구,남항동3가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,22.7,50.6,64.6,27.2,41.3,39.2,38.2,41.0
26200-734,"롯데캐슬블루오션",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,27.3,47.3,55.3,72.6,50.6,49.2,52.7,49.2
26200-112,"동삼그린힐",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,29.8,37.0,55.8,61.4,46.0,44.7,47.5,44.9
26200-595,"절영아파트(215동-217동)",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,29.6,45.5,69.6,56.5,50.3,48.3,50.2,49.2
26200-60,"벽산비치",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.5,51.6,80.3,56.0,53.6,50.9,52.6,52.4
26200-698,"영도일동미라주브라이튼(2단지)",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.3,45.5,54.5,54.6,45.2,43.8,45.7,44.3
26200-116,"동부산아이존빌",영도구,영선동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,28.1,68.3,72.6,62.0,57.8,55.5,56.9,56.7
26200-18,"영선2동4동",영도구,영선동4가,IDENTITY_HIGH,COORD_LOW,NOT_ENOUGH_DATA,0.25,,,,27.7,,,,
26200-774,"청학우성스마트시티뷰",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,23.7,30.8,56.5,74.5,46.4,44.7,49.5,44.6
26200-721,"남항부백자연애",영도구,남항동1가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,23.9,74.6,56.9,66.6,55.5,53.8,55.5,54.4
26200-26,"미광마린타워",영도구,봉래동2가,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,41.2,71.0,60.9,29.8,50.7,49.7,47.1,51.2
26200-75,"절영아파트(208동-214동)",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,30.1,36.0,54.3,58.6,44.8,43.6,46.1,43.7
26200-71,"에덴금호",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.9,32.5,30.0,49.5,34.7,34.6,36.5,34.1
26200-6,"영도화랑",영도구,남항동3가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,20.8,46.4,62.2,27.6,39.2,37.2,36.6,38.9
26200-79,"태종파크맨션(227-233)",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,0.75,,42.8,58.4,33.8,45.0,44.1,42.8,45.3
26200-59,"반도보라비치타운",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,27.2,4.7,65.3,49.7,36.8,34.8,38.2,35.5
26200-39,"대룡파크맨션",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,19.9,32.8,76.9,36.8,41.6,38.7,39.8,40.6
26200-34,"영도유림",영도구,봉래동4가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,24.9,34.6,57.8,46.6,41.0,39.3,41.0,40.1
26200-699,"영도일동미라주브라이튼(1단지)",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,28.3,45.5,50.4,65.1,47.3,46.2,49.0,46.1
26200-5,"남항무궁화맨션",영도구,남항동3가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,21.0,47.3,65.2,26.8,40.1,37.9,37.1,39.7
26200-22,"영광그린",영도구,신선동2가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,28.1,32.6,53.9,44.4,39.8,38.5,39.9,39.1
26200-25,"대교타운",영도구,봉래동1가,IDENTITY_MEDIUM,COORD_HIGH,SCORE_AVAILABLE,1.00,43.0,71.0,43.2,47.8,51.3,51.3,50.3,51.4
26200-24,"영광골든타워",영도구,봉래동1가,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,51.5,72.4,36.2,43.2,50.8,51.6,49.7,51.4
26200-58,"동삼절영3",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,29.6,47.7,73.5,53.6,51.1,48.9,50.4,50.1
26200-737,"영도경동리인",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,17.9,28.7,43.8,63.1,38.4,37.1,41.1,36.9
26200-117,"동삼동한진로즈힐",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,29.9,51.7,73.2,54.7,52.4,50.2,51.6,51.4
26200-46,"일신마리나",영도구,청학동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,28.9,28.6,64.4,50.6,43.1,41.3,43.5,42.1
26200-596,"유림노르웨이숲비치",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,26.8,33.9,27.9,51.9,35.1,35.1,37.2,34.4
26200-65,"삼창파크타운3차",영도구,동삼동,IDENTITY_HIGH,COORD_HIGH,SCORE_AVAILABLE,1.00,29.1,51.8,74.7,39.4,48.8,46.5,46.4,48.2
