aptSeq,name,sggCd,umdName,prodTotal,shadowTotal,prodTransport,shadowTransport
26500-1892,"힐탑더블시티",26500,광안동,73,72,65.11,64.27
26500-2455,"더샵남천프레스티지",26500,남천동,56,55,46.40,45.69
26500-2061,"센텀비스타동원",26500,민락동,67,68,69.10,68.85
26500-39,"화목타운",26500,남천동,53,52,80.98,80.89
26470-3049,"레이카운티(3단지)",26470,거제동,61,61,58.77,59.54
26470-240,"엔학미지앙",26470,연산동,43,,39.57,
26470-70,"부림(327-1)",26470,연산동,34,40,30.22,30.16
26470-219,"에이스빌(1293-2)",26470,연산동,60,64,54.86,56.06
26470-235,"청아시티빌",26470,연산동,51,,45.47,
26470-246,"연산훼미리타운",26470,연산동,52,,59.47,
26470-287,"인환파크맨션",26470,연산동,56,,67.89,
26470-247,"새연산(1825-2)",26470,연산동,40,46,58.67,59.03
26470-3051,"레이카운티(5단지)",26470,거제동,60,60,53.75,54.82
26470-178,"뉴리버빌",26470,연산동,44,,36.61,
26470-213,"에스비타운",26470,연산동,64,,67.32,
26470-45,"국제",26470,연산동,41,42,57.96,58.89
26470-1312,"해피모아빌",26470,연산동,65,,71.61,
26470-214,"조광네오빌",26470,연산동,66,,72.29,
26470-291,"아림시티빌",26470,연산동,54,,59.74,
26470-118,"강산마을",26470,연산동,40,,25.93,
26470-48,"남산두맨션",26470,연산동,34,,28.87,
26470-161,"황제빌리지",26470,거제동,46,,52.18,
26470-6,"경동",26470,거제동,50,,61.25,
26470-76,"삼보맨션",26470,연산동,50,50,40.15,40.92
26470-64,"동원",26470,연산동,45,46,44.71,45.62
26500-29,"삼익비치",26500,남천동,30,29,19.74,17.66
26500-2361,"경동리인",26500,광안동,40,41,31.84,32.62
26500-74,"센텀비치푸르지오",26500,민락동,42,44,33.97,35.42
26500-1851,"신우피렌체",26500,광안동,57,,48.16,
26500-213,"중경",26500,광안동,45,45,68.91,67.83
26500-2470,"이린타워빌10",26500,광안동,59,59,44.69,44.10
26500-49,"오양장미",26500,망미동,42,42,44.06,44.06
26500-23,"뉴비치",26500,남천동,39,38,31.98,30.68
26500-2281,"광안자이",26500,광안동,33,34,17.67,17.89
26500-1839,"쌍용예가디오션",26500,광안동,54,55,38.26,38.05
26500-1397,"더샵파크리치",26500,망미동,64,64,62.93,62.93
26500-66,"현대",26500,수영동,43,44,62.81,63.20
26500-1983,"e편한세상광안비치",26500,민락동,45,46,38.29,40.60
26500-117,"수영협성르네상스타운",26500,수영동,36,35,30.67,28.10
26500-2212,"성우이린타워",26500,광안동,64,,50.55,
26500-1904,"W-PARKⅡ",26500,광안동,52,,25.00,
26500-2228,"e편한세상오션테라스4단지",26500,민락동,48,48,35.32,37.04
26500-2225,"수영SKVIEW1단지",26500,망미동,56,56,43.36,43.36
26500-24,"남천동원로얄듀크",26500,남천동,53,51,41.61,39.58
26500-1390,"광안현대하이페리온",26500,민락동,65,65,59.20,59.04
26500-52,"망미한신",26500,망미동,47,47,33.19,33.19
26500-75,"롯데캐슬자이언트",26500,민락동,46,47,36.31,37.58
26500-2482,"힐스테이트남천더퍼스트",26500,남천동,54,54,56.62,56.38
26500-1412,"코오롱하늘채골든비치",26500,남천동,50,49,31.66,30.78
26500-1852,"부산더샵센텀포레",26500,민락동,51,51,70.93,70.66
26500-3804,"한웅남천마티안",26500,남천동,59,,41.02,
26500-1691,"광안마티나",26500,광안동,45,,51.27,
26500-2068,"망미이진캐스빌",26500,망미동,45,45,44.69,44.69
26500-115,"이편한세상2차",26500,망미동,54,54,37.82,37.82
26500-1364,"이편한세상3차",26500,망미동,49,49,43.37,43.37
26500-2128,"광안더샵",26500,광안동,59,59,70.74,70.12
26500-1387,"롯데골드로즈",26500,광안동,70,69,69.08,67.37
26500-26,"백산",26500,남천동,47,46,60.42,58.96
26500-5,"광원",26500,광안동,48,48,33.50,33.46
26500-2230,"남천금호어울림더비치",26500,남천동,48,47,26.79,24.68
26500-2229,"e편한세상오션테라스3단지",26500,민락동,43,43,28.21,29.15
26500-2023,"센텀비스타동원2차",26500,민락동,57,58,71.80,71.02
26500-1628,"엑슬루타워",26500,남천동,59,58,53.89,53.35
26500-59,"진로비치(101~103동)",26500,민락동,44,46,36.22,38.12
26500-47,"삼성",26500,망미동,49,49,45.38,45.38
26500-193,"정원스카이",26500,광안동,39,40,30.35,30.81
26500-2227,"e편한세상오션테라스2단지",26500,민락동,40,42,37.66,39.84
26500-1815,"W-PARK",26500,광안동,48,48,64.21,63.06
26500-2456,"남천자이",26500,남천동,43,42,15.17,12.62
26500-1376,"협성엠파이어(101,102동)",26500,광안동,49,48,52.82,51.47
26500-2179,"정원센텀뷰남천",26500,남천동,54,,59.14,
26500-2318,"광안리슈빌DS",26500,민락동,69,71,69.48,69.85
26500-2352,"광안KCC스위첸하버뷰",26500,민락동,36,38,23.53,26.72
26500-60,"태창파크",26500,민락동,42,44,50.72,56.13
26500-67,"진로비치(201,202동)",26500,민락동,40,42,23.53,26.72
26500-62,"화신",26500,민락동,56,57,56.86,57.09
26500-268,"광안동일스위트",26500,광안동,63,63,80.07,78.52
26500-265,"유림주상복합",26500,광안동,55,55,72.63,71.78
26500-2224,"수영SKVIEW2단지",26500,망미동,47,47,38.62,38.62
26500-1832,"다사랑빌",26500,남천동,54,53,52.99,53.00
26500-1384,"광안동에스케이뷰",26500,광안동,66,65,77.48,76.72
26500-1786,"수영강동원로얄듀크",26500,수영동,43,41,29.19,18.87
26500-1377,"광안협성엠파이어(103,105동)",26500,광안동,54,54,73.52,73.02
26500-194,"라익",26500,광안동,48,49,49.50,50.55
26500-2314,"광안에일린의뜰",26500,광안동,40,41,32.95,33.22
26500-2226,"e편한세상오션테라스1단지",26500,민락동,44,45,35.59,37.36
26500-1833,"민락동센텀메르빌",26500,민락동,43,44,55.29,56.81
26500-7,"비치-그린아파트",26500,광안동,50,50,38.32,38.26
26500-1938,"이린타워",26500,광안동,58,58,72.92,72.34
26500-45,"로얄베스토피아",26500,망미동,45,45,19.65,19.65
26500-13,"태평양하이츠",26500,광안동,40,40,44.31,44.33
26500-68,"상아",26500,광안동,45,46,37.93,38.50
26500-1389,"수영만아이파크",26500,민락동,52,53,64.23,65.14
26500-2043,"더클래스동진",26500,광안동,57,57,72.75,72.09
26500-2092,"디아이라뷰",26500,망미동,56,56,53.78,53.78
26500-54,"현대망미",26500,망미동,43,43,39.38,39.38
26500-221,"송파지오스V",26500,광안동,74,,88.33,
26500-2170,"광안부백자연애아파트",26500,광안동,60,60,75.47,74.68
26500-83,"세흥빌라",26500,광안동,40,41,32.58,33.29
26500-58,"이진빌라",26500,민락동,43,44,31.27,32.18
