aptSeq,name,sigungu,ageBand,hhBand,parkingStatus,total_WA,complex
26350-2347,"동화마을5",해운대구,0-10,unknown,MISSING,65.2,80.8
26350-172,"현대일성2",해운대구,31+,<100,MISSING,35.3,34.7
26350-126,"벽산2",해운대구,21-30,<100,MISSING,59.4,33.1
26350-127,"삼성",해운대구,21-30,<100,MISSING,56.0,35.6
26350-136,"한라",해운대구,21-30,<100,MISSING,64.3,33.1
26350-2398,"해운대경동리인뷰1차",해운대구,0-10,100-299,KNOWN,61.8,78.6
26350-301,"센텀롯데캐슬2차",해운대구,21-30,1000+,KNOWN,53.6,69.6
26350-2328,"달맞이유림노르웨이숲",해운대구,0-10,300-499,KNOWN,50.2,73.8
26350-210,"일동미라주",해운대구,21-30,500-999,KNOWN,49.6,57.5
26350-2271,"센텀두산위브",해운대구,11-20,500-999,KNOWN,55.2,75.2
26350-184,"삼한그린타운1",해운대구,31+,unknown,MISSING,47.2,35.2
26350-2107,"센텀동부센트레빌",해운대구,11-20,500-999,KNOWN,65.8,68.3
26350-171,"현대그린맨션",해운대구,31+,100-299,MISSING,50.0,33.0
26350-104,"달맞이경동메르빌",해운대구,21-30,300-499,KNOWN,44.2,62.0
26350-121,"두산1차아파트",해운대구,21-30,<100,MISSING,44.3,38.3
26350-114,"대우",해운대구,21-30,<100,MISSING,56.7,36.8
26350-166,"우방신세계타운",해운대구,21-30,1000+,KNOWN,56.2,66.2
26350-122,"롯데2",해운대구,21-30,100-299,KNOWN,52.8,51.6
26350-2166,"해운대두산위브더제니스",해운대구,11-20,1000+,KNOWN,63.8,80.8
26350-2162,"해운대 I PARK",해운대구,11-20,1000+,KNOWN,63.1,80.4
26260-190,"삼정그린코아",동래구,21-30,300-499,KNOWN,46.5,61.5
26350-53,"한영비치",해운대구,31+,<100,MISSING,48.6,31.2
26350-2119,"해운대중동금호어울림",해운대구,11-20,300-499,KNOWN,63.2,60.0
26350-29,"금호",해운대구,21-30,100-299,MISSING,52.4,41.5
26350-112,"대림2",해운대구,21-30,unknown,MISSING,57.6,38.8
26350-2091,"센텀롯데캐슬3차아파트",해운대구,21-30,500-999,KNOWN,61.7,62.8
26350-115,"대우2",해운대구,21-30,1000+,KNOWN,67.9,62.5
26350-2148,"해운대케이씨씨스위첸",해운대구,11-20,300-499,KNOWN,69.6,72.6
26350-182,"삼한2",해운대구,21-30,100-299,MISSING,42.0,52.0
26350-180,"벽산삼협",해운대구,21-30,<100,MISSING,48.3,37.3
26350-99,"해운대동일",해운대구,21-30,300-499,KNOWN,61.2,54.8
26350-2117,"현대하이페리온",해운대구,11-20,100-299,KNOWN,57.3,57.7
26350-160,"보람",해운대구,31+,<100,MISSING,35.0,24.8
26350-40,"신동아",해운대구,31+,100-299,MISSING,53.3,41.4
26350-2092,"더샵센텀파크2차",해운대구,21-30,500-999,KNOWN,72.2,71.6
