id,aptSeq,mgmBldrgstPk,name,normalizedName,sido,sigungu,sggCd,umdName,umdCd,jibun,roadAddress,jibunAddress,latitude,longitude,geocodeQuality,buildYear,useApprovalDate,mainBuildingCount,totalHouseholds,parkingCount,createdAt,updatedAt
1932,26140-1149,,대신타워펠리스,대신타워펠리스,부산,서구,26140,서대신동1가,10400,53-11,,,35.10894198752798,129.0172858966451,normalized,2015,,,,,2026-08-13T07:42:50.472Z,2026-08-13T12:23:54.366Z
1924,26140-115,,송도혜성비치타운,송도혜성비치타운,부산,서구,26140,암남동,12400,604-2,,,35.07137068116161,129.0156754476651,normalized,1993,,,,,2026-08-13T07:42:07.076Z,2026-08-13T12:23:54.270Z
1986,26140-1157,,서원블루오션C동,서원블루오션C동,부산,서구,26140,토성동5가,11800,48-3,,,35.0970305658386,129.020997840202,normalized,2015,,,,,2026-08-13T07:45:34.244Z,2026-08-13T12:23:55.177Z
1998,26140-1167,,오현스위트,오현스위트,부산,서구,26140,서대신동2가,10500,18-1,,,35.11180107212074,129.0153571099879,normalized,2015,,,,,2026-08-13T07:46:21.741Z,2026-08-13T12:23:56.836Z
1959,26140-1188,,에코펠리스,에코펠리스,부산,서구,26140,충무동2가,12100,1-5,,,35.09548300817809,129.0231185957342,normalized,2016,,,,,2026-08-13T07:43:57.380Z,2026-08-13T12:23:54.734Z
1943,26140-1190,,한성그린아파트,한성그린,부산,서구,26140,토성동2가,11300,8-7,,,35.10056931363901,129.021818794564,normalized,2016,,,,,2026-08-13T07:43:28.165Z,2026-08-13T12:23:54.503Z
1992,26140-1193,,다사랑빌,다사랑빌,부산,서구,26140,부민동1가,10900,12-2,,,35.1041607575102,129.020776925476,normalized,2016,,,,,2026-08-13T07:45:52.078Z,2026-08-13T12:23:55.271Z
2023,26140-1204,,민송베른시티,민송베른시티,부산,서구,26140,남부민동,12300,643-13,,,35.09227138675971,129.0233780365113,normalized,2016,,,,,2026-08-13T07:47:45.342Z,2026-08-13T12:23:55.764Z
1991,26140-1207,,태양아르떼,태양아르떼,부산,서구,26140,충무동2가,12100,4-1,,,35.0951837129048,129.022800898825,normalized,2017,,,,,2026-08-13T07:45:50.600Z,2026-08-13T12:23:55.256Z
1960,26140-121,,한성빌라,한성빌라,부산,서구,26140,토성동5가,11800,27-1,,,35.09136611394121,129.0224894955417,normalized,2001,,,,,2026-08-13T07:44:19.573Z,2026-08-13T12:23:54.750Z
1916,26140-1215,,미소드림,미소드림,부산,서구,26140,서대신동1가,10400,50-3,,,35.10845310128942,129.017529364008,normalized,2017,,,,,2026-08-13T07:41:54.965Z,2026-08-13T12:23:54.166Z
2037,26140-1216,,동대신동미소지음3차주상복합아파트,동대신동미소지음3차주상복합,부산,서구,26140,동대신동1가,10100,333-8,,,35.10779927115281,129.021829619767,normalized,2017,,,,,2026-08-13T07:48:33.352Z,2026-08-13T12:23:56.949Z
1961,26140-1220,,서원블루오션D동,서원블루오션D동,부산,서구,26140,부민동1가,10900,10-1,,,35.10455961852794,129.0208525694135,normalized,2017,,,,,2026-08-13T07:44:20.856Z,2026-08-13T12:23:54.766Z
